"date","expo_p","RTW_expo2015","TW_RTW_expo2015","TW_expo2015","wday","RTW_4expo","RTW_Pad_Ita2015","RTW_EUExpo2015","RTW_ExpoinCitta","RTW_askexpo","RTW_RaiExpo","RTW_ExpoMilano2015","RTW_cartadimilano","RTW_alberodellavita","TW_RTW_4expo","TW_RTW_Pad_Ita2015","TW_RTW_EUExpo2015","TW_RTW_ExpoinCitta","TW_RTW_askexpo","TW_RTW_RaiExpo","TW_RTW_ExpoMilano2015","TW_RTW_cartadimilano","TW_RTW_alberodellavita","expo2015_ratio","askexpo_ratio","alberodellavita_ratio","RaiExpo_ratio"
"2015-09-18",137209,3788,7275,3487,"6",11,195,162,61,27,62,86,62,17,16,252,212,88,179,86,332,75,85,1.08632061944365,5.4,0.25,2.58333333333333
"2015-09-19",241938,4266,8043,3777,"7",15,186,86,32,44,40,138,31,27,21,232,104,53,208,55,390,37,111,1.12946783161239,7.33333333333333,0.321428571428571,2.66666666666667
"2015-09-20",187747,2583,5419,2836,"1",4,183,46,28,47,30,134,30,35,11,222,58,47,230,38,355,38,122,0.910789844851904,6.71428571428571,0.402298850574713,3.75
"2015-09-21",140445,3587,7113,3526,"2",101,199,60,70,47,86,170,32,26,106,266,74,103,219,110,477,43,156,1.0173000567215,9.4,0.2,3.58333333333333
"2015-09-22",124168,3709,7445,3736,"3",94,222,45,50,25,84,150,40,12,96,284,64,86,146,106,419,47,86,0.992773019271949,12.5,0.162162162162162,3.81818181818182
"2015-09-23",104300,3608,7684,4076,"4",124,271,54,44,17,89,153,43,18,131,319,63,72,150,131,474,61,79,0.885181550539745,2.42857142857143,0.295081967213115,2.11904761904762
"2015-09-24",151161,3866,7893,4027,"5",27,134,60,57,61,299,75,53,14,29,178,80,95,228,379,413,66,91,0.96001986590514,30.5,0.181818181818182,3.7375
"2015-09-25",175670,3415,7195,3780,"6",14,119,68,60,127,82,110,95,26,19,156,91,97,441,104,392,112,108,0.903439153439153,25.4,0.317073170731707,3.72727272727273
"2015-09-26",259093,3374,7201,3827,"7",9,152,69,62,47,55,90,184,23,15,203,98,95,197,75,392,229,133,0.881630519989548,7.83333333333333,0.209090909090909,2.75
"2015-09-27",194649,3055,6305,3250,"1",9,233,36,42,70,28,86,150,35,14,292,54,65,190,41,373,183,198,0.94,14,0.214723926380368,2.15384615384615
"2015-09-28",147180,3954,8174,4220,"2",9,163,169,48,50,38,77,176,29,12,209,211,82,229,61,562,218,134,0.93696682464455,16.6666666666667,0.276190476190476,1.65217391304348
"2015-09-29",142997,3699,7702,4003,"3",19,95,101,44,43,74,63,41,37,22,122,138,80,217,108,352,52,138,0.924056957282039,14.3333333333333,0.366336633663366,2.17647058823529
"2015-09-30",143372,3723,7797,4074,"4",12,187,58,73,38,48,104,71,20,18,235,86,107,162,66,462,88,105,0.913843888070692,6.33333333333333,0.235294117647059,2.66666666666667
"2015-10-01",114424,4092,8240,4148,"5",2,184,56,65,59,49,106,33,85,8,233,79,114,239,59,396,42,169,0.986499517839923,9.83333333333333,1.01190476190476,4.9
"2015-10-02",143607,3318,7209,3891,"6",7,185,104,57,45,40,100,24,17,13,246,153,96,235,60,349,36,128,0.852737085582113,7.5,0.153153153153153,2
"2015-10-03",226681,3664,7250,3586,"7",4,104,58,44,52,22,71,73,27,6,128,91,67,219,32,309,89,126,1.02175125488009,26,0.272727272727273,2.2
"2015-10-04",153371,2794,5881,3087,"1",21,118,41,37,55,21,74,32,37,26,146,58,58,194,32,314,37,158,0.905085843861354,11,0.305785123966942,1.90909090909091
"2015-10-05",142331,3421,7002,3581,"2",6,110,61,41,55,34,71,38,16,11,149,87,64,214,50,297,50,103,0.955319743088523,11,0.183908045977011,2.125
"2015-10-06",128368,4572,8643,4071,"3",3,123,68,119,45,85,115,74,18,9,160,104,177,228,116,387,87,88,1.12306558585114,7.5,0.257142857142857,2.74193548387097
"2015-10-07",156891,3101,6384,3283,"4",62,158,66,89,35,54,94,35,7,70,187,108,125,238,69,361,42,83,0.94456289978678,4.375,0.0921052631578947,3.6
"2015-10-08",152748,3439,7034,3595,"5",76,166,36,66,21,107,89,34,37,80,206,58,104,165,125,419,46,143,0.956606397774687,5.25,0.349056603773585,5.94444444444444
"2015-10-09",178170,3623,8222,4599,"6",79,158,27,87,35,136,180,43,26,92,203,39,119,365,154,556,59,110,0.787779952163514,2.69230769230769,0.30952380952381,7.55555555555556
"2015-10-10",272785,4704,8870,4166,"7",72,182,21,94,38,278,111,294,25,74,235,34,117,277,340,442,347,141,1.129140662506,19,0.21551724137931,4.48387096774194
"2015-10-11",212408,3013,7132,4119,"1",59,121,47,40,39,71,94,74,38,67,158,68,59,170,108,390,90,176,0.731488225297402,4.875,0.27536231884058,1.91891891891892
"2015-10-12",159327,4277,8696,4419,"2",79,155,74,61,44,66,102,60,27,82,192,106,93,219,84,423,73,136,0.967866033039149,14.6666666666667,0.247706422018349,3.66666666666667
"2015-10-13",127484,4163,8913,4750,"3",94,157,80,58,35,45,127,52,16,105,204,115,79,202,59,649,65,103,0.876421052631579,3.18181818181818,0.183908045977011,3.21428571428571
"2015-10-14",136714,4363,8187,3824,"4",117,179,76,94,18,83,133,37,40,125,213,108,168,166,107,503,51,140,1.14095188284519,2.25,0.4,3.45833333333333
"2015-10-15",126683,5625,10297,4672,"5",100,198,208,101,33,151,182,118,41,107,237,288,142,190,167,535,149,194,1.20398116438356,4.71428571428571,0.26797385620915,9.4375
"2015-10-16",176346,7447,12799,5352,"6",24,153,97,59,30,371,155,478,16,30,195,138,105,193,439,496,581,128,1.39144245142003,5,0.142857142857143,5.45588235294118
"2015-10-17",246065,4595,8455,3860,"7",51,100,24,52,42,79,117,87,27,56,132,36,75,199,109,448,111,166,1.19041450777202,8.4,0.194244604316547,2.63333333333333
"2015-10-18",185004,3632,6801,3169,"1",67,197,15,30,40,61,126,106,50,70,230,24,39,174,79,482,126,181,1.14610287156832,13.3333333333333,0.381679389312977,3.38888888888889
"2015-10-19",150728,3710,7766,4056,"2",76,116,65,83,34,64,102,45,38,80,142,81,103,272,77,563,56,184,0.914694280078895,8.5,0.26027397260274,4.92307692307692
"2015-10-20",155899,4829,8598,3769,"3",92,147,58,31,36,68,101,36,31,97,176,76,66,281,83,461,47,130,1.28124170867604,7.2,0.313131313131313,4.53333333333333
"2015-10-21",158367,4500,8288,3788,"4",14,226,52,61,23,72,92,34,316,20,290,66,88,249,88,379,56,592,1.18796198521647,3.83333333333333,1.14492753623188,4.5
"2015-10-22",150401,3449,6977,3528,"5",46,198,12,76,21,48,154,37,161,55,253,34,114,228,65,476,51,380,0.977607709750567,2.33333333333333,0.735159817351598,2.82352941176471
"2015-10-23",166403,3308,6707,3399,"6",41,121,75,152,20,57,148,47,47,44,170,98,202,216,80,598,58,192,0.973227419829362,6.66666666666667,0.324137931034483,2.47826086956522
"2015-10-24",238512,3811,6864,3053,"7",13,122,13,149,36,52,166,37,138,14,155,23,188,234,74,467,48,306,1.24828037995414,36,0.821428571428571,2.36363636363636
"2015-10-25",179956,3641,6894,3253,"1",61,146,14,109,55,40,116,40,102,68,211,23,134,259,61,534,46,264,1.11927451583154,7.85714285714286,0.62962962962963,1.9047619047619
"2015-10-26",186471,4677,8539,3862,"2",69,283,69,83,31,81,94,49,116,73,378,84,129,167,102,514,62,284,1.21103055411704,7.75,0.69047619047619,3.85714285714286
"2015-10-27",178426,4755,8583,3828,"3",94,316,59,125,225,125,145,54,74,100,430,78,156,432,153,561,62,248,1.24216300940439,37.5,0.425287356321839,4.46428571428571
"2015-10-28",151753,3763,7436,3673,"4",74,197,149,58,51,88,106,62,40,78,256,195,82,185,109,467,77,154,1.02450313095562,12.75,0.350877192982456,4.19047619047619
"2015-10-29",166951,4190,7580,3390,"5",99,223,133,41,30,124,111,51,66,107,282,159,74,159,155,500,66,197,1.23598820058997,3.75,0.50381679389313,4
"2015-10-30",184117,3240,6187,2947,"6",109,102,87,51,98,81,104,26,35,121,143,115,79,238,99,455,31,119,1.09942314217849,8.16666666666667,0.416666666666667,4.5
"2015-10-31",177848,8747,14433,5686,"7",207,335,142,169,214,571,325,211,156,242,421,177,224,422,654,818,250,361,1.53833978192051,6.11428571428571,0.760975609756098,6.87951807228916
